Arctopsyche sp. AA,AAアミメシマトビケラ
Litocerus striatifrons,カオスジマダラヒゲナガゾウムシ
Melangyna lucifera,カオビロホソヒラタアブ
Nomada maculifrons,カオモンキマダラハナバチ
Plectoderoides vittifrons,カオモンコガシラウンカ
Thunbergia fragrans,カオリカズラ
Paratachys kaorutanakai,カオルコミズギワゴミムシ
Metaplexis japonica,ガガイモ
Limoniscus takabai,カガカネコメツキ
Ampedus ishikawai,カガチャバネコメツキ
Maclura cochinchinensis,カカツガユ
Thienemannimyia fuscipes,カカトセマダラヒメユスリカ
Sarcophaga kagaensis,カガニクバエ
Cirsium kagamontanum,カガノアザミ
Dichaetomyia bibax,カガハナゲバエ
Lathrobium kagaense,カガヒメコバネナガハネカクシ
Nymphoides indica,ガガブタ
Donacia lenzi,ガガブタネクイハムシ
Phacosoma japonicum,カガミガイ
Apogon hyalosoma,カガミテンジクダイ
Sasa kagamiana ssp.kagamiana,カガミナンブスズ
Phreatodytes latiusculus,カガミムカシゲンゴロウ
Arctosa depectinata,カガリビコモリグモ
Amiota neochungi,カガリビメマトイ
Dipteromimus tipuliformis,ガガンボカゲロウ
Crossocerus vagabundus esakii,ガガンボギングチ
Bittacus nipponicus,ガガンボモドキ
Hirashimanymus schistodactyroides,カギアシアリヅカムシ
Bagous bipunctatus,カギアシゾウムシ
Involvulus rugosicollis,カギアシチョッキリ
Scaphidium yasumatsui,カギアシデオキノコムシ
Ochyromera miwai,カキアシブトゾウムシ
Laspeyria flexula,カギアツバ
Stiphodon surrufus,カキイロヒメボウズハゼ
Brachystomia bipyramidata,カキウラクチキレモドキ
Amphinemura monotuberculata,カギオナシカワゲラ
Amiota onchopyga,カギオメマトイ
Isolda pulchella,カギカザリゴカイ
Uncaria rhynchophylla,カギカズラ
Ochyromera rectirostris,カギカズラアシブトゾウムシ
Poroderus armatus,カギクシヒゲアリヅカムシ
Geometra dieckmanni,カギシロスジアオシャク
Ampelisca diadema,カギスガメ
Pseudocneorhinus obesus,カキスグリゾウムシ
Hydroptila kakidaensis,カキダヒメトビケラ
Iris laevigata,カキツバタ
Cyclosa hamulata,カギヅメカラスゴミグモ
Metalype uncatissima,カギヅメクダトビケラ
Pinnotheres pholadis,カギヅメピンノ
Glechoma hederacea ssp.grandis,カキドオシ
Platypus hamatus,カギナガキクイムシ
Pilargis berkeleyae,カギナシゴカイ
Sisymbrium officinale,カキネガラシ
Diospyros kaki var.kaki,カキノキ
Empoasca nipponica,カキノキミドリヒメヨコバイ
Polypedilum uncinatum,カギノテケバネユスリカ
Boccardiella hamata,カギノテスピオ
Polygala reinii,カキノハグサ
Sinoxylon japonicum,カキノフタトゲナガシンクイ
Tanaorhinus reciprocata confuciaria,カギバアオシャク
Heterogenea asella,カギバイラガ
Pseudonadagara hepatica,カギバエダシャク
Phyllanthus nitidus,カキバカンコノキ
Dictyna uncinata,カギハグモ
Hypopyra vespertilio,カキバトモエ
Circobotys nycterina,カギバノメイガ
Pseudandraca gracilis,カギバモドキ
Culex brevipalpis,カギヒゲクロウスカ
Microbrontes laemophloeoides,カギヒゲチビヒラタムシ
Pselaphogenius orientalis,カギヒゲナガアリヅカムシ
Clubiona pseudogermanica,カギフクログモ
Rumex brownii,カギミギシギシ
Melita koreana,カギメリタヨコエビ
Myrianida pachycera,カキモトシリス
Orthosia nigromaculata,カギモンキリガ
Abdera scriptipennis,カギモンケシナガクチキ
Glaucochrystis spinosa,カギモンチビアオナミシャク
Gymnoscelis spinosa,カギモンチビナミシャク
Pseumenes depressus,カギモントックリバチ
Cidariplura signata,カギモンハナオイアツバ
Inopeplus uenoi uenoi,カギモンハネカクシダマシ
Bembidion poppii pohlai,カギモンミズギワゴミムシ
Cerastis pallescens,カギモンヤガ
Stenus gagyumontis,ガギュウオチバメダカハネカクシ
Epipactis thunbergii,カキラン
Paralimna opaca,カキワナシジミギワバエ
Hortensia macrophylla f.normalis,ガクアジサイ
Epuraea bergeri,カクアシヒラタケシキスイ
Hortensia scandens,ガクウツギ
Bryaxis tetralobus,カクオノヒゲアリヅカムシ
Strumigenys strigatella,カクガオウロコアリ
Lophocharis,カクガタワムシ属
Philonthus rectangulus,カクコガシラハネカクシ
Nematoplus konoi,カクズクビナガムシ
Rheotanytarsus pentapoda,カクスナガレユスリカ
Gonocephalum recticolle,カクスナゴミムシダマシ
Tiphia oblongata,カクセンコツチバチ
Trogocryptoides shintoroi,カクチビキカワムシ
Phaius tankervilleae,カクチョウラン
Tympanophorus sauteri,カクツヤケシアバタハネカクシ
Platyias patulus,カクネワムシ
Longitarsus yoshiakii,カクバネアシナガトビハムシ
Recurvidris recurvispinosa,カクバラアリ
Saphocallus parviceps,カクバラハネカクシ
Palorus cerylonoides,カクヒメコクヌストモドキ
Stactobia japonica,カクヒメトビケラ
Parasesarma pictum,カクベンケイガニ
Drosophila unispina,カクホシショウジョウバエ
Melanostoma transversum,カクホシツヤヒラタアブ
Cerylon sharpi,カクホソカタムシ
Epuraea rapax,カクホソヒラタケシキスイ
Longitarsus quadraticollis,カクムネアシナガトビハムシ
Cautires nakanei nakanei,カクムネクロベニボタル
Glischrochilus cruciatus,カクムネケシキスイ
Melasis japonicus,カクムネコメツキダマシ
Pseudolathra regulare,カクムネスジナガハネカクシ
Neocrepidodera recticollis,カクムネチビトビハムシ
Cryptolestes pusillus,カクムネチビヒラタムシ
Neocrepidodera laevicollis,カクムネトビハムシ
Agrilus maculifer,カクムネナガタマムシ
Olophrum vicinum,カクムネハネナガヨツメハネカクシ
Cerophysella basalis,カクムネヒゲナガハムシ
Pidonia orientalis,カクムネヒメハナカミキリ
Paraneurus galiae,カクムネヒメヒラタカメムシ
Lathridius recticollis,カクムネヒメマキムシ
Lyponia quadricollis,カクムネベニボタル
Silvanus recticollis,カクムネホソヒラタムシ
Chrysobothris chrysostigma yezostigma,カクムネムツボシタマムシ
Chrysorithrum amatum,カクモンキシタバ
Pseudodeltote squalida,カクモンコヤガ
Syntarucus plinius,カクモンシジミ
Tritoma discaloides,カクモンチビオオキノコムシ
Pyrausta chrysitis,カクモントビノメイガ
Rehimena surusalis,カクモンノメイガ
Mallota abdominalis,カクモンハラブトハナアブ
Lemyra inaequalis inaequalis,カクモンヒトリ
Lemyra inaequalis sakaguchii,カクモンヒトリ沖縄亜種
Dacne kidoi,カクモンホソオオキノコムシ
Nacoleia charesalis,カクモンミスジノメイガ
Nomada kaguya,カグヤキマダラハナバチ
Myotis frater,カグヤコウモリ
Myotis frater,カグヤコウモリ
Mulgravea asiatica,カグヤショウジョウバエ
Stenus kaguyahime,カグヤヒメオチバメダカハネカクシ
Pseudocossonus brevitarsis,カグヤヒメキクイゾウムシ
Parasteatoda culicivola,カグヤヒメグモ
Scymnus kaguyahime,カグヤヒメテントウ
Mordellina kaguyahime,カグヤヒメハナノミ
Andrena kaguya,カグヤマメヒメハナバチ
Stenus kagura,カグラオチバメダカハネカクシ
Hipposideros turpis,カグラコウモリ
Hipposideros turpis,カグラコウモリ
Kagurargus kikuyai,カグラゴマグモ
Leiosolenus erimitica,カクレイシマテガイ
Geograpsus grayi,カクレイワガニ
Drosophila kuntzei,カクレボシショウジョウバエ
Dendropanax trifidus,カクレミノ
Carabus komiyai komiyai,カケガワオサムシ
Parapodisma awagatakensis,カケガワフキバッタ
Crossocerus wesmaeli,ガケギングチ
Garrulus glandarius,カケス
Eothenomys kageus,カゲネズミ
Philophylla nigrescens,カゲリホソスジハマダラミバエ
Crossocerus walkeri,カゲロウギングチ
Zeuxine agyokuana,カゲロウラン
Atylotus kakeromaensis,カケロマキイロアブ
Coelotes kakeromaensis,カケロマヤチグモ
Pardosa nojimai,カコウコモリグモ
Microcanthus strigatus,カゴカキダイ
Arboridia kakogawana,カコガワフタテンヒメヨコバイ
Bittacus kagoshimaensis,カゴシマガガンボモドキ
Cryphalus kagoshimensis,カゴシマコキクイムシ
Pedionis kagoshimensis,カゴシマハトムネヨコバイ
Litsea coreana,カゴノキ
Pyrgulina casta,カゴメイトカケクチキレ
Biwamelania reticulata,カゴメカワニナ
Goodyera hachijoensis var.matsumurana,カゴメラン
Quedius uchikawai,カザアナツヤムネハネカクシ
Falcileptoneta speciosa,カザアナマシラグモ
Sospita gebleri,カサイテントウ
Hypertrocon perfractralis,カサイヌマアツバ
Lathrobium kasagatanum,カサガタオオコバネナガハネカクシ
Clematis patens,カザグルマ
Sebastiscus marmoratus,カサゴ
Pica pica,カササギ
Carex dispalata,カサスゲ
Hydroides elegans,カサネカンザシゴカイ
Brachydeutera longipes,カサネトビクチミギワバエ
Basitrodes kasaharai,カサハラツノアリヅカムシ
Anastrangalia kasaharai,カサハラツヤケシハナカミキリ
Trichotichnus kasaharai,カサハラツヤゴモクムシ
Demotina modesta,カサハラハムシ
Lathrobium kasaharai,カサハラヒメコバネナガハネカクシ
Colaspoides kasaharai,カサハラミドリサルハムシ
Ryugadous kasaharai,カサハラメクラチビゴミムシ
Byrsax kaszabi,カサブチビコブツノゴミムシダマシ
Portunus trituberculatus,ガザミ
Pistius undulatus,ガザミグモ
Stenus kazami,カザミハヤシメダカハネカクシ
Nilothauma sasai,カザリアヤユスリカ
Holotelson decoratus,カザリウミセミ
Lampropidae,カザリクーマ科
Leucophenga ornata,カザリコガネショウジョウバエ
Drosophila elegans,カザリショウジョウバエ
Tamba igniflua,カザリツマキリアツバ
Apoderaeocoris decolatus,カザリツヤカスミカメ
Dasyhelea dufouri,カザリツヤヌカカ
Istigobius ornatus,カザリハゼ
Petaloscapus ornatus,カザリヒゲブトムネトゲアリヅカムシ
Stilobezzia notata,カザリマスガタヌカカ
Trogoderma ornatum,カザリマダラカツオブシムシ
Tribasodites picticornis,カザリムネトゲアリヅカムシ
Athanas ornithorhynchus,カザリムラサキエビ
Pyracantha crenulata,カザンデマリ
Opisthocentrus ocellatus,ガジ
Merus piceus,カシアシナガゾウムシ
Rubus trifidus,カジイチゴ
Crangon casiope,カシオペエビジャコ
Cottus pollux,カジカ
Acer diabolicum,カジカエデ
Stenus kajika,カジカオチバメダカハネカクシ
Buergeria buergeri,カジカガエル
Cottus sp.,カジカ中卵型
Juglans regia,カシグルミ
Synanthedon quercus,カシコスカシバ
Broussonetia papyrifera,カジノキ
Castanopsides takaii,カシノキカスミカメ
Gastrochilus japonicus,カシノキラン
Crossotarsus simplex,カシノコナガキクイムシ
Pyralis farinalis,カシノシマメイガ
Platypus quercivorus,カシノナガキクイムシ
Triumfetta rhomboidea,カジノハラセンソウ
Allochroa layardi,カシノメガイ
Macropsis quercus,カシハトムネヨコバイ
Aguriahana quercus,カシヒメヨコバイ
Syndiamesa kashimae,カシマユキユスリカ
Pterostichus kajimurai,カジムラヒメナガゴミムシ
Nipponochalcidia kajimurai,カジムラホソアシブトコバチ
Ryugadous kajimotoi,カジモトメクラチビゴミムシ
Potamogeton lucens,ガシャモク
Ficus microcarpa,ガジュマル
Cryphalus abbreviatus,ガジュマルノコキクイムシ
Emberiza rustica,カシラダカ
Cephalodella,カシラワムシ属
Euops splendidus,カシルリオトシブミ
Rhodocyrtus assimilis,カシルリチョッキリ
Quercus dentata,カシワ
Pechipogo strigilata,カシワアツバ
Conistra ardescens,カシワオビキリガ
Castanopsides potanini,カシワカスミカメ
Xyleborus muticus,カシワギキクイムシ
Lithophane pruinosa,カシワキボシキリガ
Orthosia gothica jezoensis,カシワキリガ
Nothomyllocerus griseus,カシワクチブトゾウムシ
Xyleborus quercicola,カシワザイノキクイムシ
Scasiba rhynchioides,カシワスカシバ
Cryptocephalus scitulus,カシワツツハムシ
Psallus tonnaichanus,カシワトビカスミカメ
Trypodendron signatum,カシワノキクイムシ
Orchestes japonicus,カシワノミゾウムシ
Pertya robusta,カシワバハグマ
Clubiona coerulescens,カシワフクログモ
Lymantria mathura flavida,カシワマイマイ沖縄亜種
Lymantria mathura aurora,カシワマイマイ本土亜種
Chlamisus consimilis,カシワムシクソハムシ
Pseudopyrochroa kazuoi kazuoi,カズオアカハネムシ
Libnetis kazuoi,カズオコクロハナボタル
Oligoenoplus rosti iwatai,カスガエゾトラカミキリ
Lepidostoma kasugaense,カスガカクツツトビケラ
Paramenesia kasugensis,カスガキモンカミキリ
Scydmaenus kasugaensis,カスガコケムシ
Asiopodabrus kasugensis kasugensis,カスガニンフジョウカイ
Bradycellus confusus,カスガヒメゴモクムシ
Lesteva distincta,カスガヒメミズギワヨツメハネカクシ
Homotechnes motschulskyi okudai,カスガヤマミヤマヒサゴコメツキ
Ditrichophora fusca,カズキスルスミミギワバエ
Haplodrassus kanenoi,カズサハイタカグモ
Platynus kazuyoshii,カズサヒラタゴミムシ
Helina latiscissa,カズサホソイエバエ
Rhinogobius sp.KZ,カズサヨシノボリ
Cincticostella levanidovae,カスタネアマダラカゲロウ
Zoarchias veneficus,カズナギ
Beckmannia syzigachne,カズノコグサ
Vicia tetrasperma,カスマグサ
Caranx melampygus,カスミアジ
Lathrobium kasumiense,カスミオオコバネナガハネカクシ
Cerasus leveilleana,カスミザクラ
Orchelimum kasumigauraense,カスミササキリ
Hynobius nebulosus,カスミサンショウウオ
Collessia hiharai,カスミショウジョウバエ
Lognyodes japonicus,カスミゾウムシ
Opilo miyatakei,カスミナガカッコウムシ
Blaesoxipha sublaticornis,カスミニクバエ
Acentrogobius janthinopterus,カスミハゼ
Eusphalerum kasumi,カスミハナムグリヨツメハネカクシ
Nymphomyia alba,カスミハネカ
Plumatella casmiana,カスミハネコケムシ
Stenus kasumi,カスミハヤシメダカハネカクシ
Arothron immaculatus,カスミフグ
Seidlia auriculata,カズメウズムシ
Morana kazuyoae,カズヨマメアリヅカムシ
Nipponacmea radula,カスリアオガイ
Distoleon nigricans,カスリウスバカゲロウ
Polyophthalmus pictus,カスリオフェリア
Tipula bubo,カスリガガンボ
Microvelia kyushuensis,カスリケシカタビロアメンボ
Drosophila hydei,カスリショウジョウバエ
Mimectatina variegata,カスリチビカミキリ
Pothyne variegata hayashii,カスリドウボソカミキリ
Limnophila japonica,カスリヒメガガンボ
Spilosmylus nipponensis,カスリヒロバカゲロウ
Pherbellia nana reticulata,カスリマルヒゲヤチバエ
Tanypus kraatzi,カスリモンユスリカ
Balclutha punctata,カスリヨコバイ
Eragrostis ferruginea,カゼクサ
Eragrostis sp.,カゼクサ属の１種
Rhodocyrtus caeligenus,カゼチョッキリ
Rhodeus smithii smithii,カゼトゲタナゴ
Digitonthophagus gazella,ガゼラエンマコガネ
Chloris radiata,カセンガヤ
Inula salicina var.asiatica,カセンソウ
Cymindis collaris,カタアカアトキリゴミムシ
Omineus humeralis,カタアカジョウカイモドキ
Loderus genucinctus insulicola,カタアカスギナハバチ
Tritoma kensakui,カタアカチビオオキノコムシ
Arge rejecta,カタアカチュウレンジ
Hira humerosignata,カタアカナガクチキ
Eropterus nothus,カタアカハナボタル
Conderis rufohumeralis,カタアカベニボタル
Micromarolia uninotata,カタアカホソナガクチキ
Atrecus pilicornis,カタアカホソハネカクシ
Tachinus sibiricus,カタアカマルクビハネカクシ
Polystichum makinoi,カタイノデ
Polystichum x izuense,カタイノデモドキ
Euophrys kataokai,カタオカハエトリ
Monommata,カタオワムシ属
Carex unilateralis,カタガワヤガミスゲ
Pachyta lamed,カタキカタビロハナカミキリ
Octotemnus japonicus,カタキバツツキノコムシ
Pedostrangalia femoralis,カタキハナカミキリ
Falsomordellistena tokarana,カタキヒメハナノミ
Themus ohkawai,カタキンイロジョウカイ
Engraulis japonica,カタクチイワシ
Phloeotrinus filiformis,カタクボホソナガクチキ
Erythronium japonicum,カタクリ
Sangariola punctatostriata,カタクリハムシ
Felisacus gresitti,カタグロシダカスミカメ
Stenodynerus chinensis kalinowskii,カタグロチビドロバチ
Unciferina brevifrons,カタグロチビヒゲナガゾウムシ
Elanus caeruleus,カタグロトビ
Prothemus nigrihumeralis,カタグロマルムネジョウカイ
Cyrtorhinus lividipennis,カタグロミドリカスミカメ
Cassidula crassiuscula,カタシイノミミミガイ
Pterostichus katashinensis katashinensis,カタシナナガゴミムシ
Mesosa hirsuta hirsuta,カタシロゴマフカミキリ
Rheocricotopus chalybeatus,カタジロナガレツヤユスリカ
Mordellaria latior,カタジロハナノミ
Tenthredo bipunctulata,カタジロハバチ
Aquila heliaca,カタシロワシ
Xylobanus basivittatus,カタスジアミメボタル
Apenesia bishamon,カタスジアリガタバチ
Hydrellia ischiaca,カタスジカグヤミギワバエ
Mordellistena brevilineata,カタスジクロヒメハナノミ
Agrilus carinihumeralis,カタスジナガタマムシ
Tegecoelotes ignotus,カタチガイヤチグモ
Arthritica reikoae,ガタヅキ
Oxytelus puncticeps,カタツノセスジハネカクシ
Helicopsyche yamadai,カタツムリトビケラ
Anoplius separatus,カタヅメクロクモバチ
Ectemnius dives,カタトゲギングチ
Symmorphus cliens,カタトゲハムシドロバチ
Bryaxis katana,カタナオノヒゲアリヅカムシ
Mactea matsumurai,カタナクチイシアブ
Setaria viridis var.minor f.japonica,カタバエノコログサ
Obovalis omiensis,カタハガイ
Tachylopha ovata,カタバコミズギワゴミムシ
Oxalis corniculata,カタバミ
Mantura fulvipes,カタバミトビハムシ
Boehmeria x dura,カタバヤブマオ
Octonoba sybotides,カタハリウズグモ
Lithophane rosinae,カタハリキリガ
Selaginella involvens,カタヒバ
Blosyrus asellus,カタビロカククチゾウムシ
Carbula humerigera,カタビロカメムシ
Issus harimensis,カタビロクサビウンカ
Trigonocolus tibialis,カタビロゾウムシ
Dactylispa subquadrata,カタビロトゲハムシ
Colobaspis japonicus,カタビロハムシ
Falsomordellistena auromaculata,カタビロヒメハナノミ
Stenus piliferus,カタビロメダカハネカクシ
Ectomychus basalis,カタベニケブカテントウダマシ
Anisotoma rubromaculata,カタベニタマキノコムシ
Tritoma tripartiaria,カタベニチビオオキノコムシ
Pityophagus basalis,カタベニツツケシキスイ
Urophorus humeralis,カタベニデオキスイ
Desmazeria rigida,カタボウシノケグサ
Megalodacne bellula,カタボシエグリオオキノコムシ
Crioceris orientalis,カタボシクビナガハムシ
Fusigobius humeralis,カタボシサンカクハゼ
Perigona acupalpoides,カタボシホナシゴミムシ
Scoletoma longifolia,カタマガリギボシイソメ
Tremex contractus,カタマルヒラアシキバチ
Acrepyris ryukyuensis,カタマルムカシアリガタバチ
Trechiama morii,カダメクラチビゴミムシ
Aulacochilus japonicus,カタモンオオキノコムシ
Limoniscus rufovittatus,カタモンカネコメツキ
Lilioceris scapularis,カタモンクビナガハムシ
Blitopertha conspurcata,カタモンコガネ
Spondotriplax horioi,カタモンチビオオキノコムシ
Zorochros humeralis humeralis,カタモンチビコメツキ
Triplax yatoi,カタモンナガチビオオキノコムシ
Pseudoxyporus humeralis,カタモンニセオオキバハネカクシ
Bolitobius setiger,カタモンニセキノコハネカクシ
Pseudolotelus humeralis,カタモンニセクビボソムシ
Mordellaria humeralis,カタモンハナノミ
Liusus hilleri,カタモンハネカクシ
Sepedophilus kobensis,カタモンヒメキノコハネカクシ
Mordellina pseudohumeralis,カタモンヒメハナノミ
Acalolepta sublusca boehmeriavora,カタモンビロウドカミキリ
Anisolinus picticornis,カタモンブチヒゲハネカクシ
Athousius humeralis,カタモンホソコメツキ
Menoko kawaharai,カタモンホソツヤミズギワコメツキ
Sacodes amamiensis,カタモンマルハナノミ
Fleutiauxellus katamon,カタモンミズギワコメツキ
Drilaster axillaris,カタモンミナミボタル
Biphyllus humeralis,カタモンムクゲキスイ
Gambusia affinis,カダヤシ
Oncomelania nosophora,カタヤマガイ
Ciona intestinalis,カタユウレイボヤ
Cybaeus nipponicus,カチドキナミハグモ
Anser anser var.domesticus,ガチョウ
Synstrophus macrophthalmus,カツオガタナガクチキ
Lixus impressiventris,カツオゾウムシ
Sula leucogaster,カツオドリ
Epaphiopsis gracilenta,カックミチビゴミムシ
Accoella thermalis,カックミメクラチビゴミムシ
Cuculus canorus,カッコウ
Ageratum conyzoides,カッコウアザミ
Miccolamia cleroides,カッコウカミキリ
Stenhomalus cleroides,カッコウメダカカミキリ
Aconitum gassanense,ガッサントリカブト
Trechiama montislunae,ガッサンナガチビゴミムシ
Cybaeus gassan,ガッサンナミハグモ
Isoperla kappa,カッパクサカワゲラ
Phortica kappa,カッパメマトイ
Tenthredo katsumii,カツミハバチ
Ctenitis subglandulosa,カツモウイノデ
Lanecarus katsuyai,カツヤニセクチブトコメツキ
Cercidiphyllum japonicum,カツラ
Carex subtumida,カツラガワスゲ
Agathidium katsuragiae,カツラギマルタマキノコムシ
Ptilinus cercidiphylli,カツラクシヒゲツツシバンムシ
Donacia katsurai,カツラネクイハムシ
Procraerus variegatus,カデサホソキコメツキ
Nanocnide japonica,カテンソウ
Aporotritoma tsushimana,カドアカチビオオキノコムシ
Tabanus katoi,カトウアカアブ
Nacerdes katoi,カトウカミキリモドキ
Phrynarachne katoi,カトウツケオグモ
Phaonia katoi,カトウトゲアシイエバエ
Eristalis katoi,カトウハナアブ
Holostrophus diversefasciatus,カトウヒメナガクチキ
Falsomordellistena katoi,カトウヒメハナノミ
Coliracemata katurana,カトゥラプシキシタダミ
Protonemura angulata,カドオナシカワゲラ
Cerobates planicollis,カドガシラヒラタミツギリゾウムシ
Monotoma brevicollis,カドコブデオネスイ
Ahasverus advena,カドコブホソヒラタムシ
Anigraea albomaculata,カドジロフサヤガ
Ploesoma lenticulare,カドスジワムシ
Ishikawatrechus intermedius,カドタメクラチビゴミムシ
Pentagonica angulosa,カドツブゴミムシ
Brachionus quadridentatus,カドツボワムシ
Brachionus angularis var.bidens,カドナシコガタツボワムシ
Cardiocondyla strigifrons,カドハダカアリ
Bioxylus bidentatus,カドハラヒメフトコメツキダマシ
Eleocharis tetraquetra var.tsurumachii,カドハリイ
Monomorium sechellense,カドヒメアリ
Gyraulus biwaensis,カドヒラマキガイ
Myrmecina nipponica,カドフシアリ
Hypoponera opaciceps,カドフシニセハリアリ
Paraleuctra angurata,カドホソカワゲラ
Megarthrus conformis,カドホホハバビロハネカクシ
Onthophagus lenzii,カドマルエンマコガネ
Dermestes haemorrhoidalis,カドマルカツオブシムシ
Gargara anomala,カドマルツノゼミ
Platyias quadricornis,カドマルネコワムシ
Dermestes coarctatus,カドムネカツオブシムシ
Gonotopus pallida,カドムネカマバチ
Tetramorium smithi,カドムネシワアリ
Lissodema validicorne,カドムネチビキカワムシ
Placonotus testaceus,カドムネチビヒラタムシ
Pseudoxyporus biguttatus,カドムネニセオオキバハネカクシ
Taiwanaptera glabra,カドムネハネナシヒラタカメムシ
Odontonotus sauteri,カドムネヒラタカメムシ
Temnothorax koreanus,カドムネボソアリ
Apamea crenata,カドモンヨトウ
Xyleborus kadoyamensis,カドヤマキクイムシ
Lispe tentaculata,カトリバエ
Gynacantha japonica,カトリヤンマ
Wormaldia kadowakii,カドワキタニガワトビケラ
Oedostethus kadowakii,カドワキツヤミズギワコメツキ
Neillia tanakae,カナウツギ
Nazeris nipponicus,カナガワアバタコバネハネカクシ
Asiopodabrus kamitakaranus kanagawaensis,カナガワヒメクビボソジョウカイ
Scopaeus yoshidai,カナガワヒメクビボソハネカクシ
Atheta kanagawaensis,カナガワヒメハネカクシ
Lindera erythrocarpa,カナクギノキ
Indocryphalus pubipennis,カナクギノキキクイムシ
Tapinopa guttata,カナコキグモ
Metaeuchromius kimurai,カナサンツトガ
Solidago canadensis,カナダアキノキリンソウ
Larus thayeri,カナダカモメ
Branta canadensis,カナダガン
Allomengea dentisetis,カナダサラグモ
Grus canadensis,カナダヅル
Elodea canadensis,カナダモ
Eusphalerum kana,カナハナムグリヨツメハネカクシ
Thesium chinense,カナビキソウ
Onuphis holobraｎchiata,カナブツイソメ
Pseudotrynorrhina japonica,カナブン
Humulus scandens,カナムグラ
Cardipennis shaowuensis,カナムグラサルゾウムシ
Homorosoma chinense,カナムグラトゲサルゾウムシ
Psilarthroides czerskyi,カナムグラヒメゾウムシ
Photinia glabra,カナメモチ
Lathrobium kanayamaense,カナヤマチビコバネナガハネカクシ
Hedera canariensis,カナリーキヅタ
Phalaris canariensis,カナリークサヨシ
Uranotaenia jacksoni,カニアナチビカ
Culex tuberis,カニアナツノフサカ
Geoskusea baisasi,カニアナヤブカ
Orthocladius kanii,カニエリユスリカ
Prosimulium kanii,カニオオブユ
Neohapalothrix kanii,カニギンモンアミカ
Procyon cancrivorus,カニクイアライグマ
Procyon cancrivorus,カニクイアライグマ
Lygodium japonicum var.japonicum,カニクサ
Neomusotima fuscolinealis,カニクサシダメイガ
Xysticus audax,カニグモ
Parasenecio adenostyloides,カニコウモリ
Ryugadous elongatulus,ガニゴエメクラチビゴミムシ
Trisetum bifidum,カニツリグサ
Calamagrostis fauriei,カニツリノガリヤス
Nassarius bellalus,カニノテムシロガイ
Phycosoma mustelinum,カニミジングモ
Rhinoclavis kochi,カニモリガイ
Ficopomatus enigmaticus,カニヤドリカンザシゴカイ
Casuarina cunninghamiana,カニンガムモクマオウ
Xyleborus canus,カヌスキクイムシ
Trechiama pluto kanekiyo,カネキヨメクラチビゴミムシ
Philyra kanekoi,カネココブシガニ
Antrodiaetus roretzi,カネコトタテグモ
Sarcophaga kanekoi,カネコニクバエ
Ornebius kanetataki,カネタタキ
Chionea kanenoi,カネノクモガタガガンボ
Acheilognathus rhombeus,カネヒラ
Molobratia kanoi,カノウアシナガムシヒキ
Bittacus sp.,カノウガガンボモドキ
Themira kanoi,カノウツヤホソバエ
Onomastus kanoi,カノウハエトリ
Macronychia kanoi,カノウハナバチノスヤドリニクバエ
Lispocephala kanoi,カノウホソハナレメイエバエ
Syngamoptera kanoi,カノウヤドリイエバエ
Tabanus kanoi,カノーアブ
Stegana nigripennis,カノカメノコショウジョウバエ
Amata fortunei fortunei,カノコガ
Clithon faba,カノコガイ
Apomecyna naevia naevia,カノコサビカミキリ
Epixanthus dentatus,カノコセビロガニ
Valeriana fauriei,カノコソウ
Hyadina pulchella,カノコソメワケミギワバエ
Acidiella disjuncta,カノコハマダラミバエ
Halichoeres marginatus,カノコベラ
Lilium speciosum,カノコユリ
Oreodytes kanoi,カノシマチビゲンゴロウ
Spuriopimpinella calycina,カノツメソウ
Prothemus kanoi,カノマルムネジョウカイ
Chlorophorus kanoi,カノミドリトラカミキリ
Symploce furcata,カノモリゴキブリ
Brachypalpoides brunnipes,カバアシハラナガハナアブ
Deporaus betulae,カバイクビチョッキリ
Ectinohoplia rufipes,カバイロアシナガコガネ
Sesamia confusa,カバイロウスキヨトウ
Rusicada fulvida,カバイロオオアカキリバ
Mythimna iodochra,カバイロキヨトウ
Phenolia amplificator,カバイロケシキスイ
Ostoma ferruginea,カバイロコクヌスト
Sciodrepoides fumatus,カバイロコチビシデムシ
Nola aerugula atomosa,カバイロコブガ
Ectinus sericeus sericeus,カバイロコメツキ
Glaucopsyche lycormas lycormas,カバイロシジミ
Glaucopsyche lycormas tomariana,カバイロシジミ北海道北東部亜種
Corgatha argillacea,カバイロシマコヤガ
Ramesa tosta,カバイロシャチホコ
Drosophila calidata,カバイロショウジョウバエ
Atomaria fusseata,カバイロセマルキスイ
Danae castanea,カバイロダナエテントウダマシ
Chilo phragmitellus,カバイロツトガ
Endotricha theonalis,カバイロトガリメイガ
Orchesia ocularis,カバイロニセハナノミ
Protaetia culta yaeyamana,カバイロハナムグリ
Megarthrus hemipterus,カバイロハバビロハネカクシ
Scymnus fuscatus,カバイロヒメテントウ
Hydrelia adesma,カバイロヒメナミシャク
Pseudeurostus hilleri,カバイロヒョウホンムシ
Oiceoptoma subrufum,カバイロヒラタシデムシ
Nipponoserica similis,カバイロビロウドコガネ
Anigraea sp.,カバイロフサヤガ
Oroplema oyamana,カバイロフタオ
Crypturgus tuberosus,カバイロホソキクイムシ
Rhinaphe flavescentella,カバイロホソメイガ
Diomma taiwana,カバイロマダラヒメヨコバイ
